open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1667294100000,6.68000000,6.69000000,6.66000000,6.67000000,28272.39000000,1667294999999,188742.40170000,294,8805.43000000,58832.63140000,0
1667295000000,6.66000000,6.69000000,6.66000000,6.68000000,49791.59000000,1667295899999,332363.99330000,519,32978.83000000,220142.98750000,0
1667295900000,6.68000000,6.70000000,6.66000000,6.66000000,68172.45000000,1667296799999,455365.86530000,713,43948.55000000,293607.57450000,0
1667296800000,6.66000000,6.68000000,6.65000000,6.68000000,47815.67000000,1667297699999,318822.51980000,443,26416.38000000,176300.07470000,0
1667297700000,6.67000000,6.69000000,6.66000000,6.67000000,64093.10000000,1667298599999,428215.30670000,393,39723.25000000,265513.71110000,0
1667298600000,6.68000000,6.69000000,6.66000000,6.69000000,27202.20000000,1667299499999,181581.70640000,241,10205.64000000,68146.11160000,0
1667299500000,6.68000000,6.70000000,6.67000000,6.67000000,30615.01000000,1667300399999,204648.02920000,258,9755.59000000,65240.36260000,0
1667300400000,6.68000000,6.69000000,6.62000000,6.62000000,69302.71000000,1667301299999,461117.33370000,586,14902.28000000,99311.34940000,0
1667301300000,6.62000000,6.64000000,6.60000000,6.63000000,72119.33000000,1667302199999,477379.58940000,707,41645.78000000,275754.40900000,0
1667302200000,6.64000000,6.64000000,6.62000000,6.62000000,31906.91000000,1667303099999,211601.54020000,224,6650.61000000,44131.73620000,0
1667303100000,6.62000000,6.63000000,6.61000000,6.63000000,28774.49000000,1667303999999,190511.51400000,193,17751.74000000,117545.77830000,0
1667304000000,6.63000000,6.64000000,6.60000000,6.61000000,41699.47000000,1667304899999,275881.68410000,380,20448.12000000,135213.92790000,0
1667304900000,6.62000000,6.64000000,6.61000000,6.61000000,41442.17000000,1667305799999,274571.36700000,246,24356.54000000,161398.66730000,0
1667305800000,6.61000000,6.63000000,6.61000000,6.61000000,21067.63000000,1667306699999,139433.80260000,195,12016.06000000,79548.75330000,0
1667306700000,6.61000000,6.63000000,6.60000000,6.62000000,39064.63000000,1667307599999,258522.18190000,326,16958.44000000,112255.96730000,0
1667307600000,6.61000000,6.62000000,6.58000000,6.59000000,30067.21000000,1667308499999,198391.58270000,404,9064.91000000,59827.49110000,0
